JVSTM Tuning Log

## JVSTM Tuning Parameters
  Policy: jvstm.tuning.policy.HierarchicalGradientDescent
  LogFile: jvstm3.log
  Interval: 50
  MaxThreads: 8
  InitialConfig: [4,2]
  MeasurementType: real
  Contention: High



Timestamp: Mon Mar 28 19:58:09 BST 2016 (1459191489928)

ExecutionTime: 11395

## Tuning round logs:
BestPoint - [4,2] {24,00}  - Alts - [4,2] {24,00} , 
BestPoint - [2,4] {6,00}  - Alts - [2,4] {6,00} , [2,3] {0,00} , [1,4] {0,00} , 
BestPoint - [2,4] {0,00}  - Alts - [2,4] {0,00} , [2,3] {0,00} , [1,4] {0,00} , 
BestPoint - [2,4] {6,00}  - Alts - [2,4] {6,00} , [2,3] {0,00} , [1,4] {0,00} , 
BestPoint - [2,4] {6,00}  - Alts - [2,4] {6,00} , [2,3] {0,00} , [1,4] {0,00} , 
BestPoint - [2,4] {0,00}  - Alts - [2,4] {0,00} , [2,3] {0,00} , [1,4] {0,00} , 
BestPoint - [2,4] {6,00}  - Alts - [2,4] {6,00} , [2,3] {0,00} , [1,4] {0,00} , 
BestPoint - [2,3] {6,00}  - Alts - [2,4] {0,00} , [2,3] {6,00} , [1,4] {0,00} , 
BestPoint - [2,3] {0,00}  - Alts - [2,3] {0,00} , [2,4] {0,00} , [2,2] {0,00} , [1,3] {0,00} , 
BestPoint - [1,3] {41304,00}  - Alts - [2,3] {0,00} , [2,4] {0,00} , [2,2] {677,00} , [1,3] {41304,00} , 
BestPoint - [1,2] {52479,00}  - Alts - [1,3] {49418,00} , [1,4] {23018,00} , [1,2] {52479,00} , [2,3] {52075,00} , 
BestPoint - [1,3] {55408,00}  - Alts - [1,2] {-1,00} , [1,2] {53746,00} , [1,3] {55408,00} , [1,1] {-1,00} , 

## Tuning Path:
[4,2] [4,2] [4,1] [3,2] [4,2] [4,1] [3,2] [4,2] [4,1] [3,2] [4,2] [4,1] [3,2] [4,1] [4,2] [5,1] [3,1] [4,1] [4,2] [5,1] [3,1] [4,1] [4,2] [5,1] [3,1] [5,1] [6,1] [4,1] [5,1] [6,1] [4,1] [5,1] [6,1] [4,1] [5,1] [6,1] [4,1] [5,1] [6,1] [4,1] [4,1] [4,2] [5,1] [3,1] [4,2] [4,1] [3,2] [4,2] [4,1] [3,2] [4,1] [4,2] [5,1] [3,1] [4,1] [4,2] [5,1] [3,1] [4,1] [4,2] [5,1] [3,1] [4,1] [4,2] [5,1] [3,1] [4,1] [4,2] [5,1] [3,1] [4,1] [4,2] [5,1] [3,1] [4,1] [4,2] [5,1] [3,1] [4,1] [4,2] [5,1] [3,1] [4,1] [4,2] [5,1] [3,1] [4,2] [4,1] [3,2] [4,2] [4,1] [3,2] [3,2] [3,1] [4,2] [2,2] [4,2] [4,1] [3,2] [4,2] [4,1] [3,2] [4,2] [4,1] [3,2] [4,2] [4,1] [3,2] [4,2] [4,1] [3,2] [4,2] [4,1] [3,2] [3,2] [3,1] [4,2] [2,2] [2,2] [2,3] [2,1] [3,2] [1,2] [2,2] [2,3] [2,1] [3,2] [1,2] [2,3] [2,4] [2,2] [1,3] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,3] [2,4] [2,2] [1,3] [2,3] [2,4] [2,2] [1,3] [2,3] [2,4] [2,2] [1,3] [2,3] [2,4] [2,2] [1,3] [2,3] [2,4] [2,2] [1,3] [2,2] [2,3] [2,1] [3,2] [1,2] [2,2] [2,3] [2,1] [3,2] [1,2] [2,3] [2,4] [2,2] [1,3] [2,3] [2,4] [2,2] [1,3] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,4] [2,3] [1,4] [2,3] [2,4] [2,2] [1,3] [2,3] [2,4] [2,2] [1,3] [1,3] [1,4] [1,2] [2,3] [1,2] [1,2] [1,3] [1,1] 
## Throughput:
24,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 6,00 2,00 4,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 4,00 6,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 10,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 6,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 4,00 4,00 4,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 10,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 6,00 6,00 0,00 0,00 0,00 0,00 0,00 0,00 6,00 6,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 10,00 0,00 6,00 0,00 0,00 0,00 0,00 0,00 8,00 0,00 0,00 4,00 0,00 0,00 0,00 0,00 6,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 2,00 0,00 0,00 2,00 36,00 1991,00 702,00 0,00 4,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 6,00 0,00 0,00 6,00 0,00 0,00 0,00 0,00 0,00 6,00 0,00 0,00 6,00 0,00 0,00 0,00 0,00 0,00 6,00 0,00 0,00 6,00 0,00 0,00 0,00 0,00 0,00 6,00 6,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 6,00 6,00 0,00 0,00 0,00 0,00 0,00 6,00 0,00 6,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 6,00 0,00 6,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 6,00 0,00 6,00 0,00 0,00 4,00 0,00 0,00 2,00 0,00 0,00 0,00 12,00 0,00 0,00 0,00 0,00 6,00 0,00 0,00 6,00 0,00 0,00 0,00 0,00 0,00 6,00 0,00 0,00 6,00 0,00 0,00 0,00 0,00 0,00 6,00 0,00 0,00 0,00 6,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 677,00 41304,00 49418,00 23018,00 52479,00 52075,00 -1,00 53746,00 55408,00 -1,00 
## TCR:
0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00 2,00 0,50 1,00 1,00 0,50 2,00 -1,00 1,00 0,50 -1,00 
##
